outcome,effect_measure,analysis_set,analysis_tier,cohort,term_label,adjustment,age_adjusted_effect,age_adjusted_ci_low,age_adjusted_ci_high,age_adjusted_p_value,sensitivity_effect,sensitivity_ci_low,sensitivity_ci_high,sensitivity_p_value,effect_ratio_sensitivity_vs_age,direction_change,significance_change,material_log_change,stability_flag
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,SHARE,2,expanded_core,0.0,0.0,inf,0.99856,0.0,0.0,inf,0.998577,0.9695,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,SHARE,2,minimal_plus_bmi,0.0,0.0,inf,0.99856,0.0,0.0,inf,0.998568,0.9596,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,SHARE,3,minimal_core,33.0429,27.3933,39.8577,0.0,32.0819,26.5488,38.7683,0.0,0.9709,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,SHARE,3,expanded_core,33.0429,27.3933,39.8577,0.0,31.9025,26.218,38.8196,0.0,0.9655,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,SHARE,3,minimal_plus_bmi,33.0429,27.3933,39.8577,0.0,30.5492,25.1171,37.156,0.0,0.9245,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,SHARE,4,minimal_core,114.2891,88.0461,148.3539,0.0,109.7972,84.0752,143.3885,0.0,0.9607,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,SHARE,4,expanded_core,114.2891,88.0461,148.3539,0.0,109.9794,82.9895,145.7468,0.0,0.9623,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,SHARE,4,minimal_plus_bmi,114.2891,88.0461,148.3539,0.0,103.5095,78.6349,136.2526,0.0,0.9057,0,0,0,0
all_cause_mortality,HR,functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,2,minimal_core,0.9571,0.7979,1.148,0.636642,0.9445,0.7871,1.1334,0.539616,0.9869,0,0,0,0
all_cause_mortality,HR,functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,2,minimal_plus_bmi,0.9571,0.7979,1.148,0.636642,1.0321,0.8542,1.247,0.74365,1.0783,1,0,0,1
all_cause_mortality,HR,functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,minimal_core,1.3164,1.0981,1.578,0.002965,1.3026,1.0858,1.5626,0.004428,0.9895,0,0,0,0
all_cause_mortality,HR,functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,minimal_plus_bmi,1.3164,1.0981,1.578,0.002965,1.4515,1.1971,1.76,0.000151,1.1027,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,CHARLS,2,minimal_core,1.225,0.9734,1.5415,0.08363,1.1911,0.9458,1.5,0.137106,0.9724,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,CHARLS,2,minimal_plus_bmi,1.225,0.9734,1.5415,0.08363,1.1833,0.9264,1.5114,0.177671,0.966,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,CHARLS,3,minimal_core,1.8402,1.5524,2.1814,0.0,1.824,1.5376,2.1638,0.0,0.9912,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,CHARLS,3,minimal_plus_bmi,1.8402,1.5524,2.1814,0.0,1.7639,1.4545,2.1391,0.0,0.9585,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,ELSA,2,minimal_core,1.4704,1.0647,2.0307,0.019261,1.5357,1.0828,2.178,0.016116,1.0444,0,0,0,0
