analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,adjustment,term,term_label,reference,log_or,or,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,0.366179,1.4422,1.1279,1.8442,0.00351
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.4]",4,1,0.713435,2.041,1.5893,2.621,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.5]",5,1,-0.165405,0.8475,0.6574,1.0927,0.201862
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_education_raw)[T.2.0],2.0,1,-0.018617,0.9816,0.8357,1.1529,0.820558
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_education_raw)[T.3.0],3.0,1,-0.462738,0.6296,0.4609,0.8599,0.003626
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.4.0],4.0,1,0.459227,1.5828,0.816,3.0703,0.174303
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.5.0],5.0,1,0.2519,1.2865,1.0056,1.6457,0.045006
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.7.0],7.0,1,0.215883,1.241,1.033,1.4908,0.02105
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.8.0],8.0,1,0.315467,1.3709,0.9833,1.9113,0.062809
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_smoking_raw)[T.1.0],1.0,1,0.406735,1.5019,1.2377,1.8225,3.8e-05
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_drinking_raw)[T.1.0],1.0,1,-0.157964,0.8539,0.699,1.043,0.121789
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,age,age,1,0.081028,1.0844,1.0747,1.0942,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,Intercept,Intercept,1,-4.441037,0.0118,0.0082,0.017,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,0.47434,1.607,1.4494,1.7816,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,0.537776,1.7122,1.4426,2.0321,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.4]",4,1,0.462448,1.588,1.3124,1.9214,2e-06
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.5]",5,1,0.16963,1.1849,0.9692,1.4485,0.097914
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_education_raw)[T.2.0],2.0,1,-0.254424,0.7754,0.6972,0.8623,3e-06
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_education_raw)[T.3.0],3.0,1,-0.391253,0.6762,0.5795,0.789,1e-06
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.2.0],2.0,1,0.219886,1.2459,0.6084,2.5516,0.547692
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.4.0],4.0,1,0.234054,1.2637,0.9018,1.7709,0.173987
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.5.0],5.0,1,0.248072,1.2816,1.1086,1.4815,0.000797
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.7.0],7.0,1,0.130076,1.1389,1.0183,1.2739,0.022803
