clinical_family,strict_core_classes,strict_core_cohorts,strict_core_n,strict_core_pct,mean_functional_z,mean_cognitive_z,mean_affective_z,mean_cardiometabolic_chronic_z,sensitivity_support,conservative_interpretation
"Intermediate burden, CM spared",4,"ELSA, HRS, MHAS",9578,32.96166288113429,-0.30851523282522453,-0.16062461891835458,-0.1263343077886824,-0.8700759239924828,"3 sensitivity classes in KLoSA, LASI, SHARE",Lower cardiometabolic/chronic burden relative to other domains.
"CM/chronic-high, function-spared",4,"ELSA, HRS, MHAS",7405,25.483515727166356,-0.37520713031735314,0.0054446725185685356,-0.12482883187035786,0.7093448210668466,"2 sensitivity classes in LASI, SHARE",Chronic disease burden is prominent while functional limitation is relatively preserved.
Severity-aligned burden,4,"CHARLS, ELSA, HRS",6600,22.713194301053065,-0.21357977272727272,0.00997195454545455,-0.03526822727272726,0.06050972727272728,"2 sensitivity classes in KLoSA, SHARE",Domains move together as a general severity gradient.
CM/chronic-high mixed,1,MHAS,2267,7.8016381031041355,-0.323,-0.06129999999999999,-0.0205,0.4219,"2 sensitivity classes in KLoSA, LASI",CM/chronic burden is prominent without a stable function-spared pattern.
Functional-dominant high burden,3,"ELSA, HRS, MHAS",1828,6.290866542776516,2.0851583698030636,0.4488968271334792,0.8033754376367614,0.5976668490153173,1 sensitivity class in SHARE,Functional limitation dominates the profile.
"Functional-dominant, CM-spared high burden",2,"CHARLS, MHAS",1380,4.749122444765641,1.8320870289855071,0.5127073913043478,0.6371181159420289,0.15686130434782608,None,Functional limitation dominates with relative cardiometabolic/chronic sparing.
