analysis_set,analysis_tier,cohort,wave,n,n_classes,bic,aic,lower_bound,converged,n_iter,entropy_separation,mean_max_posterior,min_class_n,min_class_pct,profile_interpretation,max_domain_deviation_from_severity,monotonic_domain_count,selection_rule,bic_winner_n_classes,bic_winner_min_class_pct,bic_winner_bic,selected_differs_from_bic_winner
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,16514.21,-2.01277,1,8,0.9236,0.9668,667,16.34,domain_specific,0.6025,3,min_bic_among_models_with_min_class_pct_ge_5,5,1.13,-7062.43,1
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,-75.46,0.013579,1,11,0.9997,1.0,687,11.41,domain_specific,0.9967,4,min_bic_among_models_with_min_class_pct_ge_5,3,11.41,219.45,0
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,-59173.87,4.859262,1,35,0.9998,1.0,549,8.99,domain_specific,1.4378,1,min_bic_among_models_with_min_class_pct_ge_5,5,8.99,-58676.83,0
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,-60114.55,2.953117,1,20,0.9554,0.9714,649,6.36,domain_specific,0.9802,2,min_bic_among_models_with_min_class_pct_ge_5,5,6.36,-59579.5,0
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,31058.29,-0.564944,1,34,0.8367,0.9187,5641,20.56,domain_specific,0.992,1,min_bic_among_models_with_min_class_pct_ge_5,5,1.65,-41028.9,1
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,-71856.23,5.346485,1,13,0.9984,0.9992,467,6.94,domain_specific,1.2636,2,min_bic_among_models_with_min_class_pct_ge_5,5,6.94,-71351.93,0
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,-11809.63,0.379271,1,9,0.9332,0.9737,1138,7.24,domain_specific,1.3439,4,min_bic_among_models_with_min_class_pct_ge_5,4,7.24,-11357.53,0
