cohort,minimal_core_ready,expanded_core_ready,optional_bmi_ready,missing_minimal_core,missing_expanded_core,recommendation,education_variable,education_pct,education_status,marital_status_variable,marital_status_pct,marital_status_status,rural_region_variable,rural_region_pct,rural_region_status,smoking_variable,smoking_pct,smoking_status,drinking_variable,drinking_pct,drinking_status,physical_activity_variable,physical_activity_pct,physical_activity_status,bmi_variable,bmi_pct,bmi_status
CHARLS,1,0,1,,physical_activity,minimal_core_ready_physical_or_region_limited,raeducl,100.0,ready,marry,100.0,ready,hrural,100.0,ready,smoken,99.98,ready,drinkev,99.95,ready,vgact_c,44.06,candidate_below_threshold,bmi,84.78,ready
ELSA,1,1,0,,,expanded_core_covariate_sensitivity_ready,raeducl,88.55,ready,mstath,100.0,ready,rabcountry,99.98,ready,smoken,100.0,ready,drink,99.98,ready,vgactx_e,99.98,ready,mbmi,0.0,candidate_below_threshold
HRS,1,0,1,,physical_activity,minimal_core_ready_physical_or_region_limited,raeducl,100.0,ready,mstath,100.0,ready,rural,99.8,ready,smoken,100.0,ready,drink,99.99,ready,vgactx,0.0,candidate_below_threshold,bmi,97.87,ready
LASI,1,1,1,,,expanded_core_covariate_sensitivity_ready,raeducl,100.0,ready,r1mstath,100.0,ready,hh1rural,100.0,ready,r1smoken,99.95,ready,r1drink3m,99.97,ready,r1vgactx,99.95,ready,r1mbmi,91.85,ready
MHAS,1,0,0,,physical_activity,minimal_core_ready_physical_or_region_limited,raeducl,99.94,ready,mstath,100.0,ready,rural,100.0,ready,smoken,99.94,ready,drink,99.97,ready,,,no_candidate,bmi,68.57,candidate_below_threshold
KLoSA,1,0,1,,physical_activity,minimal_core_ready_physical_or_region_limited,raeducl,100.0,ready,mstath,100.0,ready,rural,100.0,ready,smoken,100.0,ready,drink,100.0,ready,,,no_candidate,bmi,96.91,ready
SHARE,1,1,1,,,expanded_core_covariate_sensitivity_ready,raeducl,100.0,ready,mstath,99.98,ready,rural,95.84,ready,smoken,99.99,ready,drink3m,99.97,ready,vgactx,99.97,ready,bmi,97.34,ready
