cohort,source_age_nonmissing_n,source_age_50_64_n,source_age_50_64_pct,source_age_ge65_n,source_age_ge65_pct,complete_age_nonmissing_n,complete_age_50_64_n,complete_age_50_64_pct,complete_age_ge65_n,complete_age_ge65_pct
CHARLS,6878,4536,65.94940389648154,2342,34.050596103518465,6019,4081,67.80196045854792,1938,32.19803954145207
ELSA,6292,3210,51.01716465352829,3082,48.98283534647171,6104,3151,51.621887287024904,2953,48.378112712975096
HRS,11005,4797,43.589277601090416,6208,56.410722398909584,10202,4636,45.44207018231719,5566,54.557929817682805
KLoSA,4344,2016,46.408839779005525,2328,53.591160220994475,4081,1923,47.12080372457731,2158,52.87919627542269
LASI,28165,17158,60.91958104029824,11007,39.08041895970176,27433,16865,61.47705318412131,10568,38.52294681587868
MHAS,7440,4640,62.365591397849464,2800,37.634408602150536,6733,4293,63.76058220703995,2440,36.23941779296005
SHARE,15814,8513,53.83204755280131,7301,46.16795244719869,15721,8475,53.90878442847147,7246,46.09121557152853
