concept,concept_role,variable,preference_rank,selected_assignment_n,nonmissing_n,nonmissing_pct,sample_values,cohort,clean_csv,all_candidates,selected_variable,selected_nonmissing_n,selected_nonmissing_pct,selected_status
education,minimal_core,raeducl,1,15721,15721,100.0,2|1|3,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,raeducl;raedyrs;radadeducl;ramomeducl,raeducl,15721,100.0,ready
education,minimal_core,raedyrs,2,15721,15721,100.0,12|8|4|11|15|14|13|16,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,raeducl;raedyrs;radadeducl;ramomeducl,raeducl,15721,100.0,ready
education,minimal_core,radadeducl,3,15721,6642,42.25,2|1|3,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,raeducl;raedyrs;radadeducl;ramomeducl,raeducl,15721,100.0,ready
education,minimal_core,ramomeducl,4,15721,6757,42.98,1|2|3,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,raeducl;raedyrs;radadeducl;ramomeducl,raeducl,15721,100.0,ready
marital_status,minimal_core,mstath,1,15721,15718,99.98,1|7|8|5|4|3,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,mstath,mstath,15718,99.98,ready
rural_region,expanded_core,rural,1,15721,15067,95.84,0|1,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,rural;country,rural,15067,95.84,ready
rural_region,expanded_core,country,2,15721,15721,100.0,11|23|20|12|18|15|17|19,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,rural;country,rural,15067,95.84,ready
smoking,minimal_core,smoken,1,15721,15720,99.99,0|1,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,smoken;smokef;smokev,smoken,15720,99.99,ready
smoking,minimal_core,smokef,2,15721,15714,99.96,0|15|20|5|10|30|38|6,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,smoken;smokef;smokev,smoken,15720,99.99,ready
smoking,minimal_core,smokev,3,15721,15721,100.0,1|0,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,smoken;smokef;smokev,smoken,15720,99.99,ready
drinking,minimal_core,drink3m,1,15721,15716,99.97,1|0,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,drink3m;drinkev;drinkb;drinkx;drinkxw,drink3m,15716,99.97,ready
drinking,minimal_core,drinkev,2,15721,0,0.0,,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,drink3m;drinkev;drinkb;drinkx;drinkxw,drink3m,15716,99.97,ready
drinking,minimal_core,drinkb,3,15721,0,0.0,,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,drink3m;drinkev;drinkb;drinkx;drinkxw,drink3m,15716,99.97,ready
drinking,minimal_core,drinkx,4,15721,15716,99.97,2|0|1|4|3,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,drink3m;drinkev;drinkb;drinkx;drinkxw,drink3m,15716,99.97,ready
drinking,minimal_core,drinkxw,5,15721,15716,99.97,1|0,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,drink3m;drinkev;drinkb;drinkx;drinkxw,drink3m,15716,99.97,ready
physical_activity,expanded_core,vgactx,1,15721,15717,99.97,4|5|2|3,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,vgactx;mdactx,vgactx,15717,99.97,ready
physical_activity,expanded_core,mdactx,2,15721,15720,99.99,2|5|3|4,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,vgactx;mdactx,vgactx,15717,99.97,ready
bmi,optional_biometric,bmi,1,15721,15303,97.34,23.7228107452393|34.0490303039551|30.8012504577637|21.3039493560791|24.3417568206787|25.806453704834|21.0961894989014|34.2935523986816,SHARE,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,bmi,bmi,15303,97.34,ready
