analysis_set,analysis_tier,cohort,wave,n,n_classes,reference_bic,reference_entropy_separation,reference_mean_max_posterior,replicate_id,resample_design,adjusted_rand_index_vs_reference,mean_centroid_distance_vs_reference,max_centroid_distance_vs_reference,aligned_component_order,replicate_min_class_pct_on_full_data,replicate_entropy_separation_on_full_data,replicate_converged,skip_reason
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,1,nonparametric_bootstrap,0.9754,0.0723,0.1424,"1,2,3",17.28,0.9144,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,2,nonparametric_bootstrap,0.2319,0.6866,0.8569,"1,2,3",20.93,0.7282,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,3,nonparametric_bootstrap,0.9845,0.0499,0.0815,"1,2,3",17.03,0.9275,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,4,nonparametric_bootstrap,0.9341,0.1216,0.1938,"1,2,3",19.58,0.9156,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,5,nonparametric_bootstrap,0.9815,0.0816,0.1451,"1,2,3",17.13,0.9253,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,6,nonparametric_bootstrap,0.9873,0.0779,0.1651,"1,2,3",16.12,0.9266,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,7,nonparametric_bootstrap,0.9795,0.0427,0.0597,"1,2,3",17.28,0.9216,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,8,nonparametric_bootstrap,0.9843,0.0399,0.0592,"1,2,3",15.73,0.9194,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,9,nonparametric_bootstrap,0.9749,0.0653,0.1049,"1,2,3",16.71,0.9155,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,10,nonparametric_bootstrap,0.9883,0.041,0.0758,"1,2,3",16.86,0.9184,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,11,nonparametric_bootstrap,0.9715,0.0683,0.1097,"1,2,3",15.12,0.93,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,12,nonparametric_bootstrap,0.2624,0.687,0.8811,"1,2,3",21.0,0.7345,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,13,nonparametric_bootstrap,0.2443,0.6975,0.8624,"1,2,3",20.83,0.744,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,14,nonparametric_bootstrap,0.978,0.0631,0.1173,"1,2,3",17.3,0.9203,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,15,nonparametric_bootstrap,0.2342,0.736,0.9163,"1,2,3",18.55,0.7227,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,16,nonparametric_bootstrap,0.225,0.7538,0.945,"1,2,3",16.93,0.7193,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,17,nonparametric_bootstrap,0.9787,0.0618,0.0906,"1,2,3",15.46,0.9258,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,18,nonparametric_bootstrap,0.2322,0.7073,0.8673,"1,2,3",20.26,0.7354,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,19,nonparametric_bootstrap,0.9801,0.0647,0.114,"1,2,3",15.63,0.9224,1,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,20,nonparametric_bootstrap,0.2485,0.6953,0.9047,"1,2,3",21.56,0.722,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,1,nonparametric_bootstrap,1.0,0.0307,0.0369,"1,2,3",11.41,0.9997,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,2,nonparametric_bootstrap,1.0,0.0486,0.0648,"1,2,3",11.41,0.9997,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,3,nonparametric_bootstrap,1.0,0.0265,0.0514,"1,2,3",11.41,0.9997,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,4,nonparametric_bootstrap,0.927,0.8008,1.4043,"1,2,3",6.03,0.941,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,5,nonparametric_bootstrap,1.0,0.0542,0.0804,"1,2,3",11.41,0.9997,1,
