cohort,n,selected_classes,diag_gmm_ari,tied_gmm_ari,kmeans_ari,hierarchical_sample_ari,severity_tertile_ari,best_non_full_method,best_non_full_ari,best_non_gmm_ari,full_gmm_near_singular_flag,robustness_interpretation
CHARLS,6019,3,1.0,0.4501003958232692,0.20480180930805567,0.25955220815313956,0.12336894610591674,gmm_diag,1.0,0.25955220815313956,1.0,diagonal_gmm_consistent_but_non_gmm_limited
ELSA,6104,5,1.0,0.2509192316894407,0.24087095790162213,0.47630878127504783,0.21948762205430541,gmm_diag,1.0,0.47630878127504783,1.0,diagonal_gmm_consistent_but_non_gmm_limited
HRS,10202,5,0.9223282374128831,0.32360260587613343,0.16987969861549157,0.19989275689159275,0.17817657441094056,gmm_diag,0.9223282374128831,0.19989275689159275,1.0,diagonal_gmm_consistent_but_non_gmm_limited
KLoSA,4081,3,0.9267652336938921,0.24468810455305914,0.6877916904039865,0.6181231156290335,0.2174782281464885,gmm_diag,0.9267652336938921,0.6877916904039865,1.0,diagonal_gmm_consistent_but_non_gmm_limited
LASI,27433,3,0.9550773167694934,0.22294380684304915,0.6187035376599126,0.158221164780608,0.0904256100184524,gmm_diag,0.9550773167694934,0.6187035376599126,1.0,diagonal_gmm_consistent_but_non_gmm_limited
MHAS,6733,5,0.9513486194398773,0.15408319468451168,0.19453982051175472,0.1473094121757772,0.16827336705154683,gmm_diag,0.9513486194398773,0.19453982051175472,1.0,diagonal_gmm_consistent_but_non_gmm_limited
SHARE,15721,4,0.9934228459091191,0.22341698877142646,0.2160505435799626,0.6033318721807136,0.19069107795288717,gmm_diag,0.9934228459091191,0.6033318721807136,1.0,diagonal_gmm_consistent_but_non_gmm_limited
