analysis_set,analysis_tier,cohort,outcome,outcome_label,outcome_priority,model_type,adjustment,n,events,event_pct,aic,bic_llf,auc,converged,reference
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,endotype,age_adjusted,5724,2769,48.38,7927.155,7953.765,0.5164,1,1
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,endotype,age_adjusted,5155,3245,62.95,6780.52,6819.806,0.5362,1,1
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,endotype,age_adjusted,9476,6629,69.96,11075.774,11118.713,0.6399,1,1
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,endotype,age_adjusted,6285,3035,48.29,8191.593,8232.068,0.6609,1,1
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,endotype,age_adjusted,12205,5893,48.28,16817.297,16854.345,0.5556,1,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,severity_tertile,unadjusted,3834,1136,29.63,4642.204,4660.959,0.5438,1,low
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,severity_tertile,unadjusted,5724,2769,48.38,7934.146,7954.103,0.507,1,low
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,severity_tertile,unadjusted,5155,3245,62.95,6797.149,6816.792,0.5184,1,low
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,severity_tertile,unadjusted,9476,6629,69.96,11359.792,11381.261,0.5864,1,low
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,severity_tertile,unadjusted,6285,3035,48.29,8534.593,8554.831,0.5874,1,low
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,severity_tertile,unadjusted,12205,5893,48.28,16907.074,16929.303,0.51,1,low
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,severity_tertile,age_adjusted,3834,1136,29.63,4642.222,4667.229,0.5565,1,low
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,severity_tertile,age_adjusted,5724,2769,48.38,7928.019,7954.629,0.5157,1,low
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,severity_tertile,age_adjusted,5155,3245,62.95,6779.345,6805.536,0.5404,1,low
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,severity_tertile,age_adjusted,9476,6629,69.96,11043.399,11072.025,0.6383,1,low
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,severity_tertile,age_adjusted,6285,3035,48.29,8385.327,8412.311,0.6227,1,low
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,severity_tertile,age_adjusted,12205,5893,48.28,16889.156,16918.794,0.5315,1,low
