analysis_set,analysis_tier,cohort,period,cutpoint_years,term,term_label,n,events,log_hr,hr,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,HRS,full_followup,10.7917,age,age,10044,5569,0.093275,1.0978,1.0945,1.101,0.0
strict_earliest_primary,strict_primary,HRS,early,10.7917,"C(endotype_class, Treatment(reference='1'))[T.2]",2,10044,2812,0.668288,1.9509,1.7501,2.1748,0.0
strict_earliest_primary,strict_primary,HRS,early,10.7917,"C(endotype_class, Treatment(reference='1'))[T.3]",3,10044,2812,1.047007,2.8491,2.484,3.2678,0.0
strict_earliest_primary,strict_primary,HRS,early,10.7917,"C(endotype_class, Treatment(reference='1'))[T.4]",4,10044,2812,1.07142,2.9195,2.5082,3.3983,0.0
strict_earliest_primary,strict_primary,HRS,early,10.7917,"C(endotype_class, Treatment(reference='1'))[T.5]",5,10044,2812,1.342739,3.8295,3.3193,4.4181,0.0
strict_earliest_primary,strict_primary,HRS,early,10.7917,age,age,10044,2812,0.087213,1.0911,1.0869,1.0953,0.0
strict_earliest_primary,strict_primary,HRS,late,10.7917,"C(endotype_class, Treatment(reference='1'))[T.2]",2,6788,2757,0.401349,1.4938,1.3706,1.6282,0.0
strict_earliest_primary,strict_primary,HRS,late,10.7917,"C(endotype_class, Treatment(reference='1'))[T.3]",3,6788,2757,0.60516,1.8315,1.5813,2.1215,0.0
strict_earliest_primary,strict_primary,HRS,late,10.7917,"C(endotype_class, Treatment(reference='1'))[T.4]",4,6788,2757,0.483098,1.6211,1.3736,1.9131,0.0
strict_earliest_primary,strict_primary,HRS,late,10.7917,"C(endotype_class, Treatment(reference='1'))[T.5]",5,6788,2757,0.790767,2.2051,1.8584,2.6164,0.0
strict_earliest_primary,strict_primary,HRS,late,10.7917,age,age,6788,2757,0.099841,1.105,1.0999,1.1101,0.0
strict_earliest_primary,strict_primary,MHAS,full_followup,10.2083,"C(endotype_class, Treatment(reference='1'))[T.2]",2,6487,2236,0.310855,1.3646,1.2246,1.5206,0.0
strict_earliest_primary,strict_primary,MHAS,full_followup,10.2083,"C(endotype_class, Treatment(reference='1'))[T.3]",3,6487,2236,0.881119,2.4136,2.1212,2.7464,0.0
strict_earliest_primary,strict_primary,MHAS,full_followup,10.2083,"C(endotype_class, Treatment(reference='1'))[T.4]",4,6487,2236,0.758287,2.1346,1.8423,2.4733,0.0
strict_earliest_primary,strict_primary,MHAS,full_followup,10.2083,"C(endotype_class, Treatment(reference='1'))[T.5]",5,6487,2236,0.669847,1.9539,1.6924,2.2558,0.0
strict_earliest_primary,strict_primary,MHAS,full_followup,10.2083,age,age,6487,2236,0.085357,1.0891,1.0843,1.0939,0.0
strict_earliest_primary,strict_primary,MHAS,early,10.2083,"C(endotype_class, Treatment(reference='1'))[T.2]",2,6487,1120,0.261606,1.299,1.1032,1.5296,0.001701
strict_earliest_primary,strict_primary,MHAS,early,10.2083,"C(endotype_class, Treatment(reference='1'))[T.3]",3,6487,1120,0.967161,2.6305,2.1941,3.1536,0.0
strict_earliest_primary,strict_primary,MHAS,early,10.2083,"C(endotype_class, Treatment(reference='1'))[T.4]",4,6487,1120,0.820261,2.2711,1.8537,2.7824,0.0
strict_earliest_primary,strict_primary,MHAS,early,10.2083,"C(endotype_class, Treatment(reference='1'))[T.5]",5,6487,1120,0.823691,2.2789,1.8774,2.7662,0.0
strict_earliest_primary,strict_primary,MHAS,early,10.2083,age,age,6487,1120,0.081633,1.0851,1.0786,1.0915,0.0
strict_earliest_primary,strict_primary,MHAS,late,10.2083,"C(endotype_class, Treatment(reference='1'))[T.2]",2,4971,1116,0.354958,1.4261,1.2342,1.6479,1e-06
strict_earliest_primary,strict_primary,MHAS,late,10.2083,"C(endotype_class, Treatment(reference='1'))[T.3]",3,4971,1116,0.791159,2.206,1.8315,2.6569,0.0
strict_earliest_primary,strict_primary,MHAS,late,10.2083,"C(endotype_class, Treatment(reference='1'))[T.4]",4,4971,1116,0.707505,2.0289,1.6331,2.5207,0.0
strict_earliest_primary,strict_primary,MHAS,late,10.2083,"C(endotype_class, Treatment(reference='1'))[T.5]",5,4971,1116,0.477584,1.6122,1.2908,2.0135,2.5e-05
strict_earliest_primary,strict_primary,MHAS,late,10.2083,age,age,4971,1116,0.08945,1.0936,1.0863,1.1009,0.0
strict_earliest_primary,strict_primary,SHARE,full_followup,8.7917,"C(endotype_class, Treatment(reference='1'))[T.2]",2,12960,3201,0.216229,1.2414,1.1314,1.3621,5e-06
strict_earliest_primary,strict_primary,SHARE,full_followup,8.7917,"C(endotype_class, Treatment(reference='1'))[T.3]",3,12960,3201,0.514618,1.673,1.5036,1.8615,0.0
strict_earliest_primary,strict_primary,SHARE,full_followup,8.7917,"C(endotype_class, Treatment(reference='1'))[T.4]",4,12960,3201,1.012654,2.7529,2.453,3.0895,0.0
strict_earliest_primary,strict_primary,SHARE,full_followup,8.7917,age,age,12960,3201,0.102243,1.1077,1.1032,1.1121,0.0
strict_earliest_primary,strict_primary,SHARE,early,8.7917,"C(endotype_class, Treatment(reference='1'))[T.2]",2,12960,1612,0.241532,1.2732,1.1045,1.4676,0.000866
strict_earliest_primary,strict_primary,SHARE,early,8.7917,"C(endotype_class, Treatment(reference='1'))[T.3]",3,12960,1612,0.618035,1.8553,1.5872,2.1687,0.0
strict_earliest_primary,strict_primary,SHARE,early,8.7917,"C(endotype_class, Treatment(reference='1'))[T.4]",4,12960,1612,1.186626,3.276,2.7971,3.837,0.0
strict_earliest_primary,strict_primary,SHARE,early,8.7917,age,age,12960,1612,0.09766,1.1026,1.0966,1.1086,0.0
strict_earliest_primary,strict_primary,SHARE,late,8.7917,"C(endotype_class, Treatment(reference='1'))[T.2]",2,8511,1589,0.192841,1.2127,1.0728,1.3708,0.002046
strict_earliest_primary,strict_primary,SHARE,late,8.7917,"C(endotype_class, Treatment(reference='1'))[T.3]",3,8511,1589,0.426147,1.5313,1.3214,1.7746,0.0
strict_earliest_primary,strict_primary,SHARE,late,8.7917,"C(endotype_class, Treatment(reference='1'))[T.4]",4,8511,1589,0.786528,2.1958,1.8321,2.6315,0.0
strict_earliest_primary,strict_primary,SHARE,late,8.7917,age,age,8511,1589,0.106789,1.1127,1.106,1.1195,0.0
