analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,adjustment,term,term_label,reference,log_or,or,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,unadjusted,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,low,0.699484,2.0127,1.8086,2.2399,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,unadjusted,Intercept,Intercept,low,-1.446113,0.2355,0.2101,0.2639,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,unadjusted,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,low,0.805609,2.2381,1.9229,2.6048,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,unadjusted,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,low,0.429484,1.5365,1.317,1.7924,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,unadjusted,Intercept,Intercept,low,-3.684501,0.0251,0.0207,0.0305,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,unadjusted,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,low,2.818757,16.756,13.6157,20.6206,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,unadjusted,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,low,1.100118,3.0045,2.3904,3.7764,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,Intercept,Intercept,low,-2.653701,0.0704,0.0423,0.117,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,low,-0.588904,0.5549,0.4498,0.6846,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,low,-0.221254,0.8015,0.672,0.956,0.013905
