analysis_set,analysis_tier,cohort,outcome,model_type,term,term_label,log_hr,hr,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,four_domain_scores,age,age,0.095921,1.1007,1.0917,1.1097,0.0
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,four_domain_scores,functional_score,functional_score,0.206087,1.2289,1.1336,1.3322,1e-06
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,four_domain_scores,cognitive_score,cognitive_score,0.275486,1.3172,1.1882,1.4601,0.0
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,four_domain_scores,affective_score,affective_score,-0.002099,0.9979,0.896,1.1114,0.969535
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,four_domain_scores,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.259449,1.2962,1.1847,1.4183,0.0
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,four_domain_scores,age,age,0.096576,1.1014,1.0877,1.1153,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,four_domain_scores,functional_score,functional_score,0.118037,1.1253,1.0918,1.1598,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,four_domain_scores,cognitive_score,cognitive_score,0.158916,1.1722,1.1382,1.2073,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,four_domain_scores,affective_score,affective_score,0.080763,1.0841,1.0545,1.1146,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,four_domain_scores,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.342425,1.4084,1.3711,1.4466,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,four_domain_scores,age,age,0.087497,1.0914,1.0881,1.0948,0.0
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,four_domain_scores,functional_score,functional_score,0.153475,1.1659,1.1282,1.2048,0.0
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,four_domain_scores,cognitive_score,cognitive_score,0.110242,1.1165,1.0686,1.1666,1e-06
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,four_domain_scores,affective_score,affective_score,0.051111,1.0524,1.0073,1.0996,0.022425
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,four_domain_scores,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.265337,1.3039,1.2514,1.3586,0.0
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,four_domain_scores,age,age,0.081122,1.0845,1.0794,1.0896,0.0
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,four_domain_scores,functional_score,functional_score,0.160941,1.1746,1.1433,1.2068,0.0
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,four_domain_scores,cognitive_score,cognitive_score,0.151218,1.1632,1.1202,1.2079,0.0
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,four_domain_scores,affective_score,affective_score,0.000217,1.0002,0.9669,1.0347,0.989984
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,four_domain_scores,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.123295,1.1312,1.0953,1.1683,0.0
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,four_domain_scores,age,age,0.098444,1.1035,1.0989,1.1081,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.2]",2,-0.043836,0.9571,0.7979,1.148,0.636642
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.274868,1.3164,1.0981,1.578,0.002965
