cohort,source_women50_n,complete_four_domain_n,excluded_incomplete_domain_n,complete_four_domain_pct,age_mean_complete,age_mean_excluded,age_difference_excluded_minus_complete,functional_missing_pct,cognitive_missing_pct,affective_missing_pct,cardiometabolic_chronic_missing_pct,validation_available_n,validation_event_n
CHARLS,6878,6019,859,87.51090433265483,61.86658913440771,66.104772991851,4.238183857443282,0.8723466123873218,12.41640011631288,7.18232044198895,0.7414946205292235,5691,1766
ELSA,6292,6104,188,97.01207883026065,65.1281127129751,71.77659574468085,6.6484830317057515,1.4939605848696758,2.479338842975207,2.908455181182454,0.06357279084551812,5153,1316
HRS,11005,10202,803,92.70331667423898,67.19800039207999,77.58281444582815,10.384814053748158,0.1453884597910041,7.187641980917765,7.223989095865516,0.0,9431,3546
KLoSA,4344,4081,263,93.94567219152854,65.99975496201911,70.01520912547528,4.01545416345617,0.0,5.2716390423572745,0.8977900552486188,0.0,3834,1144
LASI,28165,27433,732,97.40102964672465,62.57142857142857,69.06010928961749,6.488680718188917,0.3088940173974791,1.2355760695899165,2.5670157997514647,0.17752529735487307,0,0
MHAS,7440,6733,707,90.49731182795699,62.4388831130254,66.94766619519095,4.50878308216555,6.075268817204301,7.271505376344085,6.330645161290323,2.083333333333333,5443,1437
SHARE,15814,15721,93,99.41191349437207,64.78131162139813,68.03225806451613,3.2509464431179964,0.0,0.5311749083090932,0.0,0.46793980017705833,12205,1525
