cohort,analytic_profile_n,age_mean,age_sd,bmi_n,bmi_pct_nonmissing,bmi_implausible_excluded_n,bmi_mean,bmi_sd,chronic_count_mean,chronic_count_sd,chronic_ge2_pct,functional_z_mean,functional_z_sd,cognitive_z_mean,cognitive_z_sd,affective_z_mean,affective_z_sd,cardiometabolic_chronic_z_mean,cardiometabolic_chronic_z_sd,smoking_raw_positive_pct,drinking_raw_positive_pct,marital_raw_one_pct,rural_raw_one_pct,domain_z_signature
CHARLS,6019,61.86658913440771,8.327520781843704,5098,84.69845489283934,5,23.85462998240169,4.237233664108852,0.7004485794982556,0.9457632159393917,17.561056653929224,-0.07179785572752816,0.9025868982008698,0.012127613671875174,1.006967980194809,-0.014966199279811849,0.9927415801196212,0.006036053005322192,1.0068422646698163,6.51379195746095,15.043218085106384,77.08921747798637,58.08273799634491,-0.07/0.01/-0.01/0.01
ELSA,6104,65.1281127129751,10.433860542632921,0,0.0,0,,,0.6813564875491481,0.8173562093189173,14.859108781127132,-0.0065125507984612,0.9883521050597862,-0.010649154535161888,0.9682299475524474,0.0003193323696460398,1.0001200286110186,-0.007503259381359806,0.9984840391967029,18.2175622542595,85.23676880222841,59.25622542595019,93.24922169424873,-0.01/-0.01/0.00/-0.01
HRS,10202,67.19800039207999,10.248055848905484,9985,97.87296608508136,0,27.005718577866798,5.827155011131795,0.9535385218584591,0.9787456616632213,25.181336992746523,-0.10705596527334477,0.7953845013112779,-0.0008045011512671867,0.9996979112328103,-0.0007642817094619534,0.9995300147880691,-0.03434083857828478,0.9803341394188374,14.408939423642423,39.81962552690913,54.361889825524415,28.874484384207427,-0.11/-0.00/-0.00/-0.03
KLoSA,4081,65.99975496201911,10.48940875447101,3955,96.91252144082333,0,23.361195283352046,2.9329239782645598,0.7240872335211958,0.8453045374395542,17.446704239157068,-0.014434520889202423,0.9556141610530359,-0.004060862484498451,0.9941052822254905,-0.021457415296328525,0.9866543461039757,-0.010420522245058956,0.9921983892010953,2.9894633668218575,17.69174222004411,65.30262190639549,26.1455525606469,-0.01/-0.00/-0.02/-0.01
LASI,27433,62.57142857142857,9.303967139045282,25196,91.84558743119601,2,23.11741503754728,5.118443127842158,0.587066671526993,0.8096433958048661,13.51656763751686,-0.029047282496884184,0.9517237969166673,0.00019315357802885064,0.9974230462740173,5.2127397695689454e-05,0.9997145923906275,-0.0026542889362145697,0.997312117261502,3.687358669487198,2.5669073142273757,58.45150001822622,64.7832901979368,-0.03/0.00/0.00/-0.00
MHAS,6733,62.4388831130254,9.387670486333851,4617,68.57270161889203,0,27.736349466070614,5.300849428934536,0.6860240605970592,0.7161093949205606,13.040249517302838,0.004299856267380346,1.0053367832010658,-0.006383874115461305,0.9976437528834045,0.004435928400747904,1.0018760464331842,-0.008341486978038931,0.9893149547527808,9.49621043245653,17.649680582380036,58.99301945640873,22.916976087925146,0.00/-0.01/0.00/-0.01
SHARE,15721,64.78131162139813,10.363814978105554,15303,97.34113606004708,0,26.166360137307286,4.697896266406815,0.8449208065644679,0.9710149501867985,22.1487182749189,-0.0024233187081801107,0.9967490202494721,-0.0005446139127134017,0.999843501220058,-0.0010783600873425145,0.9993699651307164,0.00046157311832754,1.0001537546449808,15.114503816793892,59.02265207431917,62.53340119608093,21.344660516360257,-0.00/-0.00/-0.00/0.00
