analysis_set,analysis_tier,cohort,wave,profile_design,profile_domains,n,n_classes,bic,aic,lower_bound,converged,n_iter,entropy_separation,mean_max_posterior,min_class_n,min_class_pct,profile_interpretation,max_domain_deviation_from_lfo_severity,selection_rule,bic_winner_n_classes,bic_winner_min_class_pct,bic_winner_bic,selected_differs_from_bic_winner
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,4081,3,-8425.05,-8608.16,1.061769,1,20,0.9999,1.0,712,17.45,domain_specific,0.9425,min_bic_among_models_with_min_class_pct_ge_5,5,0.39,-17148.21,1
strict_earliest_primary,strict_primary,CHARLS,1,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,6019,4,-10335.86,-10597.27,0.886613,1,22,0.9511,0.9705,574,9.54,domain_specific,1.1733,min_bic_among_models_with_min_class_pct_ge_5,5,4.6,-18660.46,1
strict_earliest_primary,strict_primary,ELSA,1,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,6105,5,-15611.4,-15940.52,1.312856,1,20,0.9109,0.9393,347,5.68,domain_specific,1.0716,min_bic_among_models_with_min_class_pct_ge_5,4,3.24,-23346.16,1
strict_earliest_primary,strict_primary,HRS,5,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,10210,4,-29806.29,-30088.31,1.477292,1,26,1.0,1.0,794,7.78,domain_specific,1.1741,min_bic_among_models_with_min_class_pct_ge_5,5,4.57,-30301.32,1
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,27438,3,-70697.97,-70936.34,1.293723,1,18,0.9999,1.0,3712,13.53,domain_specific,1.4268,min_bic_among_models_with_min_class_pct_ge_5,4,2.81,-108041.84,1
strict_earliest_primary,strict_primary,MHAS,1,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,6741,3,-17709.71,-17907.38,1.332545,1,31,1.0,1.0,894,13.26,domain_specific,1.0933,min_bic_among_models_with_min_class_pct_ge_5,5,1.14,-28015.99,1
strict_earliest_primary,strict_primary,SHARE,1,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,15721,4,-49788.57,-50087.42,1.595491,1,39,1.0,1.0,1049,6.67,domain_specific,1.3281,min_bic_among_models_with_min_class_pct_ge_5,5,3.42,-51008.37,1
