cohort,requested_bootstrap_n,successful_bootstrap_n,profile_auc_p025,profile_auc_p975,continuous_auc_p025,continuous_auc_p975,delta_auc_p025,delta_auc_p975
CHARLS,100,100,0.6286483260363201,0.6637747413138314,0.6462201326304021,0.6749211263894139,-0.022333911044417856,-0.005963114372763422
ELSA,100,100,0.7363240130173353,0.7660922650981966,0.7429707434902553,0.7724562636431631,-0.011038746448058476,-0.0017591109739684308
HRS,100,100,0.6903899742672164,0.7136226303382988,0.6985757256214662,0.7199481144786744,-0.010255597422678809,-0.005458543973545772
MHAS,100,100,0.662961514853336,0.6904105842568679,0.6646391999776045,0.6922904360114913,-0.004305516909635429,0.00065033447233969
SHARE,100,100,0.6808954364877846,0.7093233597463223,0.7397433419323397,0.7627186047427561,-0.06658881813264259,-0.045047906143173715
KLoSA,100,100,0.5489947501846544,0.5900221103702668,0.5587132503862763,0.5968639676081743,-0.024123213738329624,-0.002176196764236817
