analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,adjustment,term,term_label,reference,log_hr,hr,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,C(cov_smoking_raw)[T.1.0],1.0,low,0.766854,2.153,1.9925,2.3264,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,C(cov_drinking_raw)[T.1.0],1.0,low,-0.139242,0.87,0.8202,0.9229,4e-06
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,age,age,low,0.095277,1.1,1.0961,1.1038,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,cov_bmi,cov_bmi,low,0.001794,1.0018,0.9966,1.007,0.496905
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,low,0.28115,1.3247,1.1805,1.4864,2e-06
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,low,0.681783,1.9774,1.7648,2.2156,0.0
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,C(cov_education_raw)[T.2.0],2.0,low,0.040954,1.0418,0.9467,1.1465,0.401943
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,C(cov_education_raw)[T.3.0],3.0,low,0.030303,1.0308,0.904,1.1753,0.650827
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,C(cov_marital_status_raw)[T.3.0],3.0,low,0.205771,1.2285,0.8121,1.8582,0.329793
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,C(cov_marital_status_raw)[T.4.0],4.0,low,0.18788,1.2067,0.8297,1.755,0.325565
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,C(cov_marital_status_raw)[T.5.0],5.0,low,0.117282,1.1244,0.9538,1.3255,0.162382
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,C(cov_marital_status_raw)[T.7.0],7.0,low,0.090362,1.0946,1.005,1.1921,0.038005
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,C(cov_marital_status_raw)[T.8.0],8.0,low,0.231638,1.2607,1.0819,1.469,0.002991
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,C(cov_smoking_raw)[T.1.0],1.0,low,0.588204,1.8008,1.6106,2.0134,0.0
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,C(cov_drinking_raw)[T.1.0],1.0,low,-0.184689,0.8314,0.7719,0.8954,1e-06
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,age,age,low,0.109452,1.1157,1.1105,1.1209,0.0
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,severity_tertile,minimal_plus_bmi,cov_bmi,cov_bmi,low,0.008496,1.0085,1.0003,1.0169,0.043118
