cohort,domain,variable,present,nonmissing,nonmissing_pct
ELSA,affective,depressive,1,44675,49.6
ELSA,affective,psyche,1,90047,99.98
ELSA,affective,r1psyche,0,0,0.0
ELSA,affective,sleep_night,0,0,0.0
ELSA,affective,satlifez,1,65700,72.94
ELSA,cardiometabolic_chronic,hibpe,1,90046,99.97
ELSA,cardiometabolic_chronic,diabe,1,90046,99.97
ELSA,cardiometabolic_chronic,hearte,1,80615,89.5
ELSA,cardiometabolic_chronic,stroke,1,90046,99.97
ELSA,cardiometabolic_chronic,hchole,1,77945,86.54
ELSA,cardiometabolic_chronic,dyslipe,0,0,0.0
ELSA,cardiometabolic_chronic,bmi,0,0,0.0
ELSA,cardiometabolic_chronic,mbmi,1,29855,33.15
ELSA,cardiometabolic_chronic,r1mbmi,0,0,0.0
ELSA,cardiometabolic_chronic,systo,1,29665,32.94
ELSA,cardiometabolic_chronic,diasto,1,29665,32.94
ELSA,cardiometabolic_chronic,r1systo,0,0,0.0
ELSA,cardiometabolic_chronic,r1diasto,0,0,0.0
ELSA,cardiometabolic_chronic,cancre,1,90047,99.98
ELSA,female_specific,mammog,1,12214,13.56
ELSA,female_specific,r1mammog,0,0,0.0
ELSA,female_specific,papsm,0,0,0.0
ELSA,female_specific,r1papsm,0,0,0.0
ELSA,female_specific,hystere,1,13405,14.88
ELSA,female_specific,r1hystere,0,0,0.0
ELSA,female_specific,oophos1y,0,0,0.0
ELSA,female_specific,oophos,0,0,0.0
ELSA,female_specific,child,1,90069,100.0
ELSA,female_specific,hchild,0,0,0.0
ELSA,female_specific,r1child,0,0,0.0
ELSA,inflammaging,bl_crp,0,0,0.0
ELSA,inflammaging,bl_wbc,0,0,0.0
ELSA,inflammaging,crp,0,0,0.0
ELSA,inflammaging,wbc,0,0,0.0
HRS,time,wave,1,208674,100.0
HRS,time,iwstat,1,208674,100.0
HRS,time,radyear,1,64139,30.74
HRS,time,radmonth,1,63637,30.5
HRS,time,age,0,0,0.0
HRS,time,agey,0,0,0.0
HRS,time,r1agey,0,0,0.0
HRS,time,ragey_b,1,208674,100.0
HRS,time,ragey_e,1,208674,100.0
HRS,sex,ragender,1,208674,100.0
HRS,functional,adltot6,0,0,0.0
HRS,functional,adl6a,1,208309,99.83
HRS,functional,iadl,0,0,0.0
HRS,functional,iadlfour,0,0,0.0
HRS,functional,iadltot2_e,0,0,0.0
HRS,functional,r1adltot6,0,0,0.0
HRS,functional,r1iadltot_l,0,0,0.0
HRS,functional,frailty,1,208674,100.0
HRS,functional,frailtya,0,0,0.0
HRS,functional,frailtyb,0,0,0.0
HRS,functional,gripsum,0,0,0.0
HRS,functional,gripcomp,1,59250,28.39
HRS,functional,walkcomp,1,31801,15.24
HRS,functional,fall,1,115098,55.16
HRS,functional,fall_down,0,0,0.0
HRS,cognitive,total_cognition,0,0,0.0
HRS,cognitive,cog_total,0,0,0.0
HRS,cognitive,cogtot,1,102905,49.31
HRS,cognitive,cog27,1,194471,93.19
HRS,cognitive,r1cog_total,0,0,0.0
HRS,cognitive,memory_z,1,194471,93.19
HRS,cognitive,orient_z,1,102905,49.31
HRS,cognitive,tcog_z_z,1,162986,78.11
HRS,cognitive,dementia,1,194471,93.19
HRS,cognitive,demene,1,115116,55.17
HRS,cognitive,alzdeme,0,0,0.0
HRS,affective,cesd,1,194374,93.15
HRS,affective,cesd10,0,0,0.0
HRS,affective,cesd10a,0,0,0.0
HRS,affective,cesd10b,0,0,0.0
HRS,affective,r1cesd10,0,0,0.0
HRS,affective,depressive,1,194374,93.15
HRS,affective,psyche,1,208674,100.0
HRS,affective,r1psyche,0,0,0.0
HRS,affective,sleep_night,0,0,0.0
HRS,affective,satlifez,1,124171,59.5
HRS,cardiometabolic_chronic,hibpe,1,208674,100.0
HRS,cardiometabolic_chronic,diabe,1,208674,100.0
HRS,cardiometabolic_chronic,hearte,1,208674,100.0
HRS,cardiometabolic_chronic,stroke,1,208674,100.0
