analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,term,term_label,log_or,or,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_score,age,age,0.051617,1.053,1.0454,1.0606,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_score,Intercept,Intercept,-6.242593,0.0019,0.0012,0.0032,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_score,severity_score,severity_score,0.37439,1.4541,1.2951,1.6326,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_score,age,age,0.077669,1.0808,1.073,1.0886,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_score,Intercept,Intercept,-4.348409,0.0129,0.0094,0.0178,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_score,severity_score,severity_score,0.473632,1.6058,1.4879,1.733,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_score,age,age,0.057367,1.059,1.0541,1.064,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_score,Intercept,Intercept,-4.001011,0.0183,0.0117,0.0285,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_score,severity_score,severity_score,0.306831,1.3591,1.2172,1.5175,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_score,age,age,0.047746,1.0489,1.0416,1.0563,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_score,Intercept,Intercept,-2.134282,0.1183,0.0774,0.1809,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_score,severity_score,severity_score,2.075094,7.9653,7.1414,8.8843,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_score,age,age,-0.003517,0.9965,0.99,1.003,0.288735
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,Intercept,Intercept,-5.938223,0.0026,0.0014,0.005,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,functional_score,functional_score,-1.652486,0.1916,0.16,0.2293,0.0
