analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,term,term_label,log_or,or,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.50451,1.6562,1.2577,2.181,0.000328
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1.35718,3.8852,2.2044,6.8476,3e-06
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,functional_score,functional_score,-0.980474,0.3751,0.2895,0.486,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,age,age,0.066396,1.0687,1.0608,1.0766,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,Intercept,Intercept,-6.854845,0.0011,0.0006,0.0017,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.166815,1.1815,0.9975,1.3996,0.053547
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.825309,2.2826,1.6582,3.142,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.750852,2.1188,1.6804,2.6716,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.5]",5,1.145817,3.145,1.6496,5.996,0.000501
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,functional_score,functional_score,-0.43844,0.645,0.515,0.8079,0.000135
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,age,age,0.081758,1.0852,1.0774,1.0931,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,Intercept,Intercept,-5.127843,0.0059,0.0043,0.0082,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.512655,1.6697,1.5077,1.8492,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.963401,2.6206,2.1616,3.1771,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.4]",4,1.024607,2.786,2.2296,3.4812,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.5]",5,1.314041,3.7212,2.6327,5.2596,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,functional_score,functional_score,-0.391557,0.676,0.6019,0.7593,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,age,age,0.061051,1.063,1.058,1.0679,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,Intercept,Intercept,-4.857028,0.0078,0.0049,0.0123,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.468038,1.5969,1.3792,1.8489,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.8784,2.407,1.9651,2.9484,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.789968,2.2033,1.5914,3.0505,2e-06
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.5]",5,0.947924,2.5803,1.9149,3.477,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,functional_score,functional_score,-0.354132,0.7018,0.6255,0.7873,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,age,age,0.054713,1.0562,1.0488,1.0637,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,Intercept,Intercept,0.522338,1.686,0.9464,3.0034,0.07623
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.2]",2,-25.057518,0.0,0.0,inf,0.998564
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1.930493,6.8929,5.3996,8.7993,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,"C(endotype_class, Treatment(reference='1'))[T.4]",4,-0.639619,0.5275,0.3001,0.9272,0.026241
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,functional_score,functional_score,2.531664,12.5744,9.7357,16.2408,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_matched_domain,age,age,-0.049219,0.952,0.9432,0.9608,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,Intercept,Intercept,-5.172237,0.0057,0.0028,0.0115,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.016065,1.0162,0.7592,1.3601,0.913993
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.282977,1.3271,0.7922,2.2232,0.282406
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,functional_score,functional_score,-1.862712,0.1553,0.1275,0.189,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,cognitive_score,cognitive_score,0.222337,1.249,1.1171,1.3965,9.4e-05
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,affective_score,affective_score,0.047627,1.0488,0.9608,1.1448,0.286843
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.146473,1.1577,0.9802,1.3674,0.084589
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,age,age,0.05874,1.0605,1.0499,1.0712,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,Intercept,Intercept,-4.85879,0.0078,0.0046,0.013,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.319604,1.3766,1.0398,1.8224,0.025551
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1.120991,3.0679,1.7248,5.4568,0.000136
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,functional_score,functional_score,-1.111979,0.3289,0.2529,0.4277,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,cognitive_score,cognitive_score,0.294642,1.3426,1.2577,1.4333,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,affective_score,affective_score,0.334994,1.3979,1.3116,1.49,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.202643,1.2246,1.1538,1.2999,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,age,age,0.059328,1.0611,1.0529,1.0694,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,Intercept,Intercept,-6.334869,0.0018,0.001,0.003,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.077927,1.081,0.8645,1.3518,0.494343
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.666652,1.9477,1.3857,2.7376,0.000124
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.515446,1.6744,1.1295,2.4821,0.01028
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.5]",5,0.953537,2.5949,1.3399,5.0251,0.004687
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,functional_score,functional_score,-0.50433,0.6039,0.4798,0.7601,1.7e-05
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,cognitive_score,cognitive_score,0.210074,1.2338,1.137,1.3388,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,affective_score,affective_score,0.252788,1.2876,1.1999,1.3817,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.064147,1.0662,0.947,1.2005,0.288953
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,age,age,0.074981,1.0779,1.0695,1.0863,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,Intercept,Intercept,-4.591198,0.0101,0.0071,0.0144,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.353392,1.4239,1.2338,1.6432,1e-06
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.647114,1.91,1.5404,2.3683,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.440369,1.5533,1.2101,1.9939,0.000547
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.5]",5,0.778277,2.1777,1.5031,3.1552,3.9e-05
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,functional_score,functional_score,-0.392901,0.6751,0.6006,0.7588,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,cognitive_score,cognitive_score,0.194589,1.2148,1.155,1.2777,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,affective_score,affective_score,0.212702,1.237,1.1734,1.3041,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.088108,1.0921,1.0206,1.1686,0.010771
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,age,age,0.055631,1.0572,1.052,1.0624,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,Intercept,Intercept,-4.502907,0.0111,0.0068,0.0182,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.160087,1.1736,0.8973,1.5349,0.2424
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.250564,1.2847,0.7846,2.1038,0.319358
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.541555,1.7187,1.1962,2.4695,0.003406
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.5]",5,0.572065,1.7719,1.219,2.5757,0.002721
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,functional_score,functional_score,-0.380082,0.6838,0.6101,0.7664,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,cognitive_score,cognitive_score,0.073246,1.076,1.0054,1.1515,0.03433
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,affective_score,affective_score,0.1477,1.1592,1.0857,1.2376,1e-05
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.201851,1.2237,1.0396,1.4404,0.015242
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,age,age,0.052531,1.0539,1.0462,1.0618,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,Intercept,Intercept,0.978368,2.6601,1.4142,5.0036,0.002404
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.2]",2,-25.2212,0.0,0.0,inf,0.998553
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1.672648,5.3263,3.9094,7.2566,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,"C(endotype_class, Treatment(reference='1'))[T.4]",4,-1.170988,0.3101,0.1632,0.589,0.000347
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,functional_score,functional_score,2.608352,13.5767,10.4361,17.6623,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,cognitive_score,cognitive_score,0.165305,1.1798,1.0647,1.3073,0.001596
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,affective_score,affective_score,0.01936,1.0195,0.9376,1.1086,0.650525
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.113222,1.1199,1.0116,1.2397,0.029076
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype_plus_four_domains,age,age,-0.054128,0.9473,0.938,0.9567,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,Intercept,Intercept,-1.146334,0.3178,0.1926,0.5245,7e-06
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,-0.40982,0.6638,0.5381,0.8188,0.00013
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,0.045622,1.0467,0.8807,1.244,0.604639
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,age,age,0.00592,1.0059,0.9977,1.0143,0.159122
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,Intercept,Intercept,0.473338,1.6053,1.0746,2.3982,0.02081
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,0.074015,1.0768,0.9441,1.2283,0.270269
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,0.084746,1.0884,0.9582,1.2364,0.192452
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,age,age,-0.009592,0.9905,0.9839,0.997,0.004419
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,Intercept,Intercept,1.27559,3.5808,2.4581,5.2163,0.0
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,0.205477,1.2281,1.0574,1.4264,0.00714
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,0.232467,1.2617,1.0969,1.4513,0.001133
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,age,age,-0.013694,0.9864,0.9805,0.9924,9e-06
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,Intercept,Intercept,3.856526,47.3008,34.5315,64.7919,0.0
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,-0.479885,0.6189,0.5516,0.6944,0.0
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,0.037856,1.0386,0.9253,1.1657,0.520597
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,age,age,-0.042338,0.9585,0.954,0.9631,0.0
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,Intercept,Intercept,2.445153,11.5323,8.0002,16.6238,0.0
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,-0.606541,0.5452,0.4791,0.6204,0.0
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,-0.129202,0.8788,0.7773,0.9936,0.039163
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,age,age,-0.036674,0.964,0.9583,0.9698,0.0
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,Intercept,Intercept,-0.634154,0.5304,0.4176,0.6736,0.0
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,-0.04598,0.9551,0.8695,1.049,0.336683
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,0.058742,1.0605,0.9725,1.1565,0.184068
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_tertile,age,age,0.008723,1.0088,1.0049,1.0126,8e-06
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,Intercept,Intercept,-1.464744,0.2311,0.1329,0.4019,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,severity_score,severity_score,-0.342197,0.7102,0.6195,0.8143,1e-06
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,age,age,0.008829,1.0089,1.0005,1.0173,0.036712
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,Intercept,Intercept,0.541681,1.7189,1.1375,2.5974,0.010121
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,severity_score,severity_score,0.05865,1.0604,0.9671,1.1627,0.212026
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,age,age,-0.00982,0.9902,0.9837,0.9968,0.003731
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,Intercept,Intercept,1.299096,3.666,2.4651,5.4519,0.0
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,severity_score,severity_score,0.065942,1.0682,0.9634,1.1844,0.210679
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,age,age,-0.011829,0.9882,0.9823,0.9942,0.000119
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,Intercept,Intercept,3.563732,35.2947,25.5274,48.799,0.0
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,severity_score,severity_score,-0.414694,0.6605,0.6119,0.7131,0.0
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,age,age,-0.040416,0.9604,0.9559,0.9649,0.0
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,Intercept,Intercept,2.07929,7.9988,5.4898,11.6545,0.0
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,severity_score,severity_score,-0.505174,0.6034,0.548,0.6644,0.0
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,age,age,-0.034848,0.9658,0.96,0.9716,0.0
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,Intercept,Intercept,-0.721775,0.4859,0.3767,0.6268,0.0
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,severity_score,severity_score,-0.087051,0.9166,0.8614,0.9754,0.006056
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,severity_score,age,age,0.010121,1.0102,1.0062,1.0141,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,matched_domain_score,Intercept,Intercept,-1.134229,0.3217,0.2002,0.5168,3e-06
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,matched_domain_score,cardiometabolic_chronic_score,cardiometabolic_chronic_score,-0.254662,0.7752,0.7164,0.8387,0.0
