cohort,method,n,sample_n,target_classes,observed_classes,min_class_pct,max_class_pct,bic,aic,silhouette,ari_vs_selected_gmm,ami_vs_selected_gmm,covariance_min_eigen_or_variance,covariance_max_condition,near_singular_flag,converged,note
MHAS,gmm_diag,6733,6733,5,5,7.218179117778107,40.383187286499336,-65254.06749441786,-65553.91764231386,0.18281601540940007,0.9513486194398773,0.8573022088295448,1.0000000000416333e-06,970437.568647837,1.0,1,full sample
MHAS,gmm_tied,6733,6733,5,5,4.485370562899154,47.957819694044254,67706.45860096313,67474.7562139526,0.24825956565801124,0.15408319468451168,0.22789287351625775,0.23653602577618577,3.418366793522655,0.0,1,full sample
MHAS,kmeans,6733,6733,5,5,4.589336105747809,35.407693450170804,,,0.2839352139839228,0.19453982051175472,0.3148357306448701,,,,1,full sample
MHAS,hierarchical_ward_sample,6733,5000,5,5,7.5,37.34,,,0.19268386910560242,0.1473094121757772,0.2819068056280074,,,,1,"sampled to max 5,000 participants for scalability"
MHAS,continuous_severity_tertile,6733,6733,3,3,33.29867815238378,33.35808703401158,,,0.121860395972264,0.16827336705154683,0.2025872442106259,,,,1,continuous-domain comparator discretized into tertiles for ARI only
SHARE,gmm_full,15721,15721,4,4,7.238725271929266,42.47821385408053,-11357.557106432243,-11809.659514386542,0.19637284922426007,1.0,1.0,1e-06,927580.0212109954,1.0,1,full sample
SHARE,gmm_diag,15721,15721,4,4,7.117867820113225,42.42732650594746,-10629.148041026729,-10897.344384728432,0.19500317497113548,0.9934228459091191,0.9735652931788042,9.99999996003197e-07,836664.4769573747,1.0,1,full sample
SHARE,gmm_tied,15721,15721,4,4,4.319063672794352,67.4257362763183,153625.60621247086,153403.3863848323,0.33472407230177886,0.22341698877142646,0.26194718139068485,0.23276670092710097,3.8628502490011964,0.0,1,full sample
SHARE,kmeans,15721,15721,4,4,5.006042872590802,53.25997073977482,,,0.3227265988598131,0.2160505435799626,0.26937990566931436,,,,1,full sample
SHARE,hierarchical_ward_sample,15721,5000,4,4,6.58,42.26,,,0.21831823822910223,0.6033318721807136,0.5718023102722788,,,,1,"sampled to max 5,000 participants for scalability"
SHARE,continuous_severity_tertile,15721,15721,3,3,33.30576935309459,33.36301761974429,,,0.11408599105470105,0.19069107795288717,0.23971638260965164,,,,1,continuous-domain comparator discretized into tertiles for ARI only
