analysis_set,analysis_tier,cohort,wave,n,n_classes,reference_bic,reference_entropy_separation,reference_mean_max_posterior,replicate_id,resample_design,adjusted_rand_index_vs_reference,mean_centroid_distance_vs_reference,max_centroid_distance_vs_reference,aligned_component_order,replicate_min_class_pct_on_full_data,replicate_entropy_separation_on_full_data,replicate_converged,skip_reason,source_note
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,113,nonparametric_bootstrap,0.9867,0.0408,0.0674,"1,2,3",15.8,0.9259,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,114,nonparametric_bootstrap,0.2356,0.7275,0.9434,"1,2,3",19.14,0.7391,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,115,nonparametric_bootstrap,0.9869,0.0386,0.0772,"1,2,3",16.98,0.9182,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,116,nonparametric_bootstrap,0.9623,0.0817,0.1105,"1,2,3",18.21,0.9239,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,117,nonparametric_bootstrap,0.9862,0.0494,0.0741,"1,2,3",15.78,0.9267,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,118,nonparametric_bootstrap,0.9952,0.0456,0.0737,"1,2,3",16.54,0.9207,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,119,nonparametric_bootstrap,0.25,0.7035,0.9384,"1,2,3",20.24,0.7209,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,120,nonparametric_bootstrap,0.2235,0.69,0.8822,"1,2,3",20.98,0.7198,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,121,nonparametric_bootstrap,0.9752,0.0662,0.109,"1,2,3",17.47,0.9197,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,122,nonparametric_bootstrap,0.986,0.0451,0.0571,"1,2,3",16.81,0.9213,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,123,nonparametric_bootstrap,0.9852,0.0689,0.084,"1,2,3",16.61,0.9277,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,124,nonparametric_bootstrap,0.9874,0.0536,0.086,"1,2,3",16.66,0.9271,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,125,nonparametric_bootstrap,0.9925,0.0549,0.0952,"1,2,3",16.07,0.929,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,126,nonparametric_bootstrap,0.2396,0.716,0.9351,"1,2,3",19.33,0.7317,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,127,nonparametric_bootstrap,0.9856,0.0548,0.103,"1,2,3",15.85,0.9261,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,128,nonparametric_bootstrap,0.2281,0.6935,0.9113,"1,2,3",20.26,0.7065,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,129,nonparametric_bootstrap,0.2428,0.7381,0.9962,"1,2,3",19.58,0.7222,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,130,nonparametric_bootstrap,0.2242,0.7023,0.898,"1,2,3",18.52,0.7079,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,131,nonparametric_bootstrap,0.9873,0.0623,0.124,"1,2,3",16.12,0.9259,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,132,nonparametric_bootstrap,0.976,0.0452,0.0789,"1,2,3",15.49,0.9197,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,133,nonparametric_bootstrap,0.2163,0.7292,0.9184,"1,2,3",17.74,0.7225,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,134,nonparametric_bootstrap,0.251,0.7122,0.9043,"1,2,3",20.19,0.7417,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,135,nonparametric_bootstrap,0.992,0.0525,0.1014,"1,2,3",16.05,0.9219,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,136,nonparametric_bootstrap,0.9921,0.0498,0.0701,"1,2,3",16.2,0.9211,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,137,nonparametric_bootstrap,0.9526,0.0807,0.1251,"1,2,3",18.65,0.9239,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,138,nonparametric_bootstrap,0.9765,0.0875,0.1574,"1,2,3",15.36,0.9269,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,139,nonparametric_bootstrap,0.2401,0.732,0.9586,"1,2,3",20.49,0.7269,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,140,nonparametric_bootstrap,0.22,0.7066,0.8993,"1,2,3",21.32,0.7474,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,141,nonparametric_bootstrap,0.9811,0.0442,0.0686,"1,2,3",15.63,0.9273,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,142,nonparametric_bootstrap,0.9898,0.0404,0.0621,"1,2,3",16.64,0.9219,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,143,nonparametric_bootstrap,0.2212,0.741,0.9943,"1,2,3",18.89,0.7155,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,144,nonparametric_bootstrap,0.9688,0.0775,0.1221,"1,2,3",17.79,0.9191,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,145,nonparametric_bootstrap,0.2304,0.7,0.8376,"1,2,3",20.34,0.7346,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,146,nonparametric_bootstrap,0.9852,0.0427,0.0561,"1,2,3",15.93,0.921,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,147,nonparametric_bootstrap,0.9805,0.072,0.0941,"1,2,3",17.23,0.9182,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,148,nonparametric_bootstrap,0.2368,0.7167,0.9229,"1,2,3",19.16,0.7316,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,149,nonparametric_bootstrap,0.979,0.0659,0.1224,"1,2,3",17.2,0.9193,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,150,nonparametric_bootstrap,0.979,0.0459,0.0568,"1,2,3",15.54,0.9257,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,151,nonparametric_bootstrap,0.9761,0.0856,0.1768,"1,2,3",17.45,0.9237,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
