analysis_set,analysis_tier,cohort,wave,method,target_classes,replicate_id,adjusted_rand_index_vs_full_fit,replicate_min_class_pct_on_full_data,replicate_converged,skip_reason
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,53,0.9275437322214924,5.997674032231267,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,54,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,55,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,56,0.9275394862543974,6.014288087722213,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,57,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,58,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,59,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,60,0.9275021155369846,6.363183253032065,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,61,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,62,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,63,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,64,0.9275165870839832,6.080744309685994,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,65,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,66,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,67,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,68,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,69,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,70,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,71,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,72,0.6372955135513757,12.144874563881043,1,
