table_id,table_title,row_type,endpoint,cohort,analysis_tier,class_id,adjustment,n_endotype,events_endotype,comparison_metric,comparison_value,secondary_metric,secondary_value,interpretation_note
S1b,Mortality covariate-sensitivity model comparison,model_comparison,All-cause mortality,ELSA,strict_primary,,minimal_core,4639.0,317.0,delta_partial_aic_severity_tertile_minus_endotype,1.9130000000004657,median_followup_time_years_endotype,12.0,Positive delta partial AIC favors the endotype Cox model over the severity-tertile comparator.
S1b,Mortality covariate-sensitivity model comparison,model_comparison,All-cause mortality,HRS,strict_primary,,minimal_core,10043.0,5569.0,delta_partial_aic_severity_tertile_minus_endotype,,median_followup_time_years_endotype,15.88,Positive delta partial AIC favors the endotype Cox model over the severity-tertile comparator.
S1b,Mortality covariate-sensitivity model comparison,model_comparison,All-cause mortality,HRS,strict_primary,,minimal_plus_bmi,9832.0,5458.0,delta_partial_aic_severity_tertile_minus_endotype,-185.18599999998696,median_followup_time_years_endotype,15.88,Positive delta partial AIC favors the endotype Cox model over the severity-tertile comparator.
S1b,Mortality covariate-sensitivity model comparison,model_comparison,All-cause mortality,MHAS,strict_primary,,minimal_core,6477.0,2231.0,delta_partial_aic_severity_tertile_minus_endotype,75.01299999999901,median_followup_time_years_endotype,17.0,Positive delta partial AIC favors the endotype Cox model over the severity-tertile comparator.
S2,Endotype effect-stability flags under covariate sensitivity,effect_stability_flag,functional_deterioration_ge_0_5sd,SHARE,bridge_sensitivity,SHARE_C4,expanded_core,,,effect_ratio_sensitivity_vs_age,0.7797,flag_reason,material_log_change,Requires manual label/outcome interpretation review before final lock.
S2,Endotype effect-stability flags under covariate sensitivity,effect_stability_flag,functional_deterioration_ge_0_5sd,SHARE,bridge_sensitivity,SHARE_C4,minimal_plus_bmi,,,effect_ratio_sensitivity_vs_age,0.7787,flag_reason,material_log_change,Requires manual label/outcome interpretation review before final lock.
S2,Endotype effect-stability flags under covariate sensitivity,effect_stability_flag,functional_deterioration_ge_0_5sd,SHARE,bridge_sensitivity,SHARE_C5,minimal_core,,,effect_ratio_sensitivity_vs_age,0.8558,flag_reason,significance_change,Requires manual label/outcome interpretation review before final lock.
S2,Endotype effect-stability flags under covariate sensitivity,effect_stability_flag,functional_deterioration_ge_0_5sd,SHARE,bridge_sensitivity,SHARE_C5,expanded_core,,,effect_ratio_sensitivity_vs_age,0.7578,flag_reason,direction_change+significance_change+material_log_change,Requires manual label/outcome interpretation review before final lock.
S2,Endotype effect-stability flags under covariate sensitivity,effect_stability_flag,functional_deterioration_ge_0_5sd,SHARE,bridge_sensitivity,SHARE_C5,minimal_plus_bmi,,,effect_ratio_sensitivity_vs_age,0.7923,flag_reason,direction_change+significance_change+material_log_change,Requires manual label/outcome interpretation review before final lock.
S2,Endotype effect-stability flags under covariate sensitivity,effect_stability_flag,functional_deterioration_ge_0_5sd,ELSA,strict_primary,ELSA_C5,expanded_core,,,effect_ratio_sensitivity_vs_age,0.8233,flag_reason,significance_change,Requires manual label/outcome interpretation review before final lock.
S2,Endotype effect-stability flags under covariate sensitivity,effect_stability_flag,functional_deterioration_ge_0_5sd,HRS,strict_primary,HRS_C3,minimal_plus_bmi,,,effect_ratio_sensitivity_vs_age,0.7756,flag_reason,material_log_change,Requires manual label/outcome interpretation review before final lock.
S2,Endotype effect-stability flags under covariate sensitivity,effect_stability_flag,functional_deterioration_ge_0_5sd,HRS,strict_primary,HRS_C4,minimal_plus_bmi,,,effect_ratio_sensitivity_vs_age,0.7569,flag_reason,material_log_change,Requires manual label/outcome interpretation review before final lock.
S2,Endotype effect-stability flags under covariate sensitivity,effect_stability_flag,functional_deterioration_ge_0_5sd,HRS,strict_primary,HRS_C5,minimal_core,,,effect_ratio_sensitivity_vs_age,0.8374,flag_reason,significance_change,Requires manual label/outcome interpretation review before final lock.
S2,Endotype effect-stability flags under covariate sensitivity,effect_stability_flag,functional_deterioration_ge_0_5sd,HRS,strict_primary,HRS_C5,minimal_plus_bmi,,,effect_ratio_sensitivity_vs_age,0.6701,flag_reason,direction_change+significance_change+material_log_change,Requires manual label/outcome interpretation review before final lock.
S2,Endotype effect-stability flags under covariate sensitivity,effect_stability_flag,all_cause_mortality,KLoSA,bridge_sensitivity,KLoSA_C2,minimal_plus_bmi,,,effect_ratio_sensitivity_vs_age,1.0783,flag_reason,direction_change,Requires manual label/outcome interpretation review before final lock.
S3,Skipped or non-estimable sensitivity fits,skipped_fit,mortality,HRS,strict_primary,,minimal_core,10043,5569,severity_tertile,,skip_reason,fit_failed: ValueError: nonfinite_cox_result,Document in supplement if the corresponding comparator is discussed.
