cohort	role	lfo_model_n	events	event_pct	reference_class	highest_crude_risk_class	reference_event_pct	highest_event_pct	crude_risk_difference_pct	crude_risk_difference_ci_pct	crude_risk_ratio	crude_risk_ratio_ci	adjusted_risk_ratio	adjusted_risk_ratio_ci	adjusted_risk_difference_pct	adjusted_model_status	profile_auc	continuous_auc	delta_auc_profile_minus_continuous	delta_auc_ci	delta_aic_continuous_minus_profile_per_1000	interpretation	delta_auc_p025	delta_auc_p975	rr_lo	rr_hi	rd_lo	rd_hi	rr_label	delta_auc_label
CHARLS	Strict-core	5687	1765	31.035695445753475	1	3	21.50735294117647	39.83488132094944	18.32752837977297	13.7 to 23.0	1.8521517468885893	1.55 to 2.21	1.6289804663187943	1.35 to 1.96	14.714652076296714	modified Poisson robust SE	0.6455601654356264	0.6602755141693621	-0.0147153487337357	-0.022 to -0.006	-9.046032122812884	strict-core exploratory functional-change association; continuous comparator favored	-0.0223339110444178	-0.0059631143727634	1.35	1.96	13.7	23.0	1.63 (1.35-1.96)	-0.015 (-0.022 to -0.006)
ELSA	Strict-core	4562	1180	25.8658483121438	1	5	21.085858585858585	42.16417910447761	21.078320518619027	14.9 to 27.2	1.9996425060327108	1.70 to 2.35	1.1459535658645323	0.96 to 1.37	3.309943329078374	modified Poisson robust SE	0.7497262426204532	0.7564481452154477	-0.0067219025949945	-0.011 to -0.002	-7.976416545169295	strict-core exploratory functional-change association; continuous comparator favored	-0.0110387464480584	-0.0017591109739684	0.96	1.37	14.9	27.2	1.15 (0.96-1.37)	-0.007 (-0.011 to -0.002)
HRS	Strict-core	9430	3546	37.6033934252386	1	4	28.384393820371823	51.76110260336907	23.376708782997248	19.3 to 27.5	1.8235761147810563	1.67 to 1.99	1.280864389761819	1.16 to 1.41	8.46540028524037	modified Poisson robust SE	0.7010757278430173	0.7089908565026497	-0.0079151286596323	-0.010 to -0.005	-6.660753217725341	strict-core exploratory functional-change association; continuous comparator favored	-0.0102555974226788	-0.0054585439735457	1.16	1.41	19.3	27.5	1.28 (1.16-1.41)	-0.008 (-0.010 to -0.005)
MHAS	Strict-core	5434	1434	26.3894000736106	1	3	20.60702875399361	36.64688427299704	16.03985551900343	12.1 to 20.0	1.778368182550089	1.57 to 2.02	1.6056148524479166	1.42 to 1.82	12.764698392164942	modified Poisson robust SE	0.675903591352859	0.677640080195258	-0.0017364888423989	-0.004 to 0.001	-1.9383144338455407	strict-core exploratory functional-change association; continuous comparator favored	-0.0043055169096354	0.0006503344723396	1.42	1.82	12.1	20.0	1.61 (1.42-1.82)	-0.002 (-0.004 to 0.001)
