cohort	role	bootstrap_median_ari	algorithm_ari_median	log10_condition	bootstrap_support	algorithm_agreement	covariance_instability	bootstrap_component	algorithm_component	covariance_component
CHARLS	Strict-core	1	0.25955220815314	6.07900893648035	1	0.25955220815314	0.9352321440739	0.455625628543098	0.118258637979523	0.426115733477379
ELSA	Strict-core	0.9461	0.250919231689441	6.13183619499853	0.9461	0.250919231689441	0.943359414615159	0.442024593000616	0.11723123482037	0.440744172179014
HRS	Strict-core	0.9859	0.199892756891593	6.18144589116024	0.9859	0.199892756891593	0.950991675563114	0.461394226308272	0.0935483962984319	0.445057377393296
KLoSA	Functional bridge sensitivity	0.9751	0.618123115629034	6.13501381317388	0.9751	0.618123115629034	0.943848278949827	0.384340780509198	0.243636468784371	0.37202275070643
LASI	Baseline-only descriptive	0.9781	0.222943806843049	6.07704490076263	0.9781	0.222943806843049	0.934929984732712	0.457917603604317	0.104375722081579	0.437706674314103
MHAS	Strict-core	0.9783	0.168273367051547	6.40369217715159	0.9783	0.168273367051547	0.985183411869475	0.458917269396541	0.0789364756408644	0.462146254962595
SHARE	Validation-downgraded sensitivity	0.3679	0.223416988771426	5.96735138596502	0.3679	0.223416988771426	0.918054059379234	0.243743909392435	0.148019924620368	0.608236165987197
