cohort	role	bootstrap_median_ari	algorithm_ari_median	max_covariance_condition_number	log10_condition
CHARLS	Strict-core	1	0.25955220815314	1199523.9855082	6.07900893648035
ELSA	Strict-core	0.8406	0.250919231689441	1354678.36522919	6.13183619499853
HRS	Strict-core	0.7609	0.199892756891593	1518608.72646801	6.18144589116024
KLoSA	Functional bridge sensitivity	0.9759	0.618123115629034	1364626.53922166	6.13501381317388
LASI	Baseline-only descriptive	0.993	0.222943806843049	1194111.554681	6.07704490076263
MHAS	Strict-core	0.9782	0.168273367051547	2533332.39763006	6.40369217715159
SHARE	Validation-downgraded sensitivity	0.3672	0.223416988771426	927580.021210996	5.96735138596502
